zipcode,longitude,latitude,number_of_orders
2045,-46.617320553161,-23.4944060239626,1
2046,-46.611528784006,-23.487747845422,7
2050,-46.6105631590397,-23.5165435032026,7
2051,-46.6087480305269,-23.5122677391078,1
2052,-46.6068675020775,-23.5094669264528,1
2053,-46.6011794998844,-23.5104274443419,8
2054,-46.605692498615,-23.516362550378,4
2055,-46.6083024672514,-23.5129529439379,3
2056,-46.6040934060534,-23.510640635582,1
2060,-46.6038228039125,-23.518861281984,7
2064,-46.5960457342604,-23.5198075814531,3
2066,-46.6029730428761,-23.5087590802124,7
2067,-46.6063899729356,-23.5058956244735,4
2071,-46.6096844804374,-23.5031375373362,6
2072,-46.6042719605863,-23.5008105092908,6
2073,-46.6075103834324,-23.5012303236194,1
2074,-46.5934638358244,-23.5090758095967,2
2075,-46.6003496729182,-23.5020285051359,8
2076,-46.5989496135092,-23.5069217807432,1
2077,-46.5962632760114,-23.501001111576,1
2078,-46.593745889809,-23.5024606094985,3
2079,-46.6026405982457,-23.5003668265336,3
2080,-46.6065742317502,-23.497817720786,1
2081,-46.6050361851232,-23.4966472178718,2
2082,-46.609653122396,-23.4946707279993,9
2083,-46.5992742675573,-23.4955208556755,6
2084,-46.5994775692481,-23.4956750291419,1
2110,-46.5937422567905,-23.5218884301465,1
2111,-46.5919763937042,-23.5157892120434,9
2112,-46.5866553416638,-23.5126681780411,2
2113,-46.5873446523686,-23.5152879649788,4
2114,-46.5917795836748,-23.5228533419412,1
2115,-46.5918859350361,-23.5264995085613,1
2117,-46.5935389279819,-23.5201945633389,2
2118,-46.5947645815973,-23.5166116799873,3
2119,-46.5929911573663,-23.5135938717756,2
2120,-46.5942177473594,-23.5104166291078,2
2121,-46.5892152747706,-23.5118135378845,1
2122,-46.5826396218477,-23.5131721917883,7
2123,-46.5780482807432,-23.5107736974724,1
2124,-46.5806637557563,-23.5063647557563,2
2125,-46.5884613805182,-23.5079571371112,5
2126,-46.5916234350511,-23.5068580793756,1
2127,-46.5827309475446,-23.5023805217843,3
2128,-46.5946382411853,-23.5039949053609,6
2129,-46.5894598673322,-23.5052156996942,2
2130,-46.5828242535345,-23.5081009386578,5
2131,-46.5817619331178,-23.502810708581,7
2132,-46.5804145006925,-23.4983314540654,3
2133,-46.5856151590397,-23.5002914640488,2
2134,-46.5781243724681,-23.4993180802123,4
2135,-46.5736311344854,-23.4988079711465,5
2136,-46.5784726588955,-23.4982544454671,6
2137,-46.5718732076,-23.501769233972,2
2138,-46.5758272250851,-23.4956516019967,5
2139,-46.5734396996941,-23.4941349394945,3
2141,-46.5756310172782,-23.4891256551043,3
2143,-46.5752170691039,-23.5079922989209,2
2150,-46.568507888424,-23.4957502034451,1
2152,-46.5732117341162,-23.4981587144093,1
2161,-46.5707859780715,-23.4912621895666,4
2166,-46.583738219401,-23.5250600918691,1
2167,-46.5818040975819,-23.522903946448,3
2168,-46.5788317528421,-23.5201748834324,1
2169,-46.5758072263504,-23.5193271816802,3
2174,-46.5718967967922,-23.5230625640078,1
2175,-46.5744572619434,-23.5167187412846,1
2176,-46.5737047327312,-23.5122678434704,1
2177,-46.5697621676381,-23.5111127740781,5
2178,-46.5702729050725,-23.5198384046684,7
2179,-46.5673104961048,-23.5195016122684,5
2180,-46.5659400380287,-23.5199731851232,1
2181,-46.5627097667205,-23.5209329053609,2
2185,-46.5678230399619,-23.5122836122684,9
2186,-46.5687734711466,-23.5133548323619,4
2187,-46.564899501385,-23.5151257157943,1
2188,-46.565657135582,-23.5075094737723,2
2189,-46.5661624345028,-23.5076214970858,1
2190,-46.5631868870391,-23.5099120335853,2
2201,-46.5921858928674,-23.4856492281436,5
2202,-46.5943659780714,-23.4931260802123,5
2203,-46.5902453243118,-23.4916923141843,3
2204,-46.5898570932541,-23.4837405889549,4
2205,-46.588590769779,-23.4891016974725,1
2206,-46.589872683594,-23.4870762470137,5
2207,-46.5906616347452,-23.4858699852848,2
2208,-46.5854664451786,-23.4810157471579,1
2209,-46.5823612667456,-23.4850648269133,8
2210,-46.5792677550638,-23.4865395262277,6
2212,-46.588410083819,-23.4945251559813,4
2213,-46.5845411575105,-23.4928732528421,1
2214,-46.5857701815165,-23.4936368695539,2
2215,-46.5850818805182,-23.4910890524554,5
2216,-46.5778358295101,-23.4945340076554,1
2217,-46.5802842105142,-23.4903358920307,5
2218,-46.5840801247619,-23.4867352528421,3
2219,-46.5808627924,-23.4879356888741,4
2220,-46.5779438381903,-23.4907459103526,7
2221,-46.5805875334411,-23.4819784227018,1
2222,-46.5778881669456,-23.4846303003058,3
2223,-46.5810891602805,-23.4787210402504,7
2224,-46.5670481858157,-23.481351072999,3
2225,-46.5758631407179,-23.4803395006925,5
2226,-46.5719185845115,-23.4846324482371,8
2227,-46.5692587121876,-23.4832535831265,6
2228,-46.5698169111893,-23.4800559322811,4
2229,-46.5678761852674,-23.4792911837382,6
2230,-46.5649011304461,-23.4827482733856,7
2231,-46.5640765305269,-23.4778562026084,1
2232,-46.5610912384153,-23.4761901443245,2
2233,-46.5643395575913,-23.4753849009175,2
2234,-46.568351005571,-23.4762743939687,3
2235,-46.5790147857349,-23.4794386938658,5
2236,-46.5689407460614,-23.4746325256795,4
2238,-46.5648410928858,-23.4701980903155,5
2239,-46.6086700395413,-23.4839262696997,2
2241,-46.6074230559179,-23.490518793785,6
2242,-46.6076599571239,-23.4881330291419,13
2243,-46.5983578447112,-23.4908384351953,7
2244,-46.6063916652721,-23.490473961423,7
2245,-46.6059917514571,-23.4834774621155,7
2246,-46.6020038608114,-23.4919134796007,2
2247,-46.6021051866524,-23.4848906086618,4
2249,-46.5951884146518,-23.4910829547579,1
2250,-46.5946922828207,-23.4865495217843,4
2251,-46.5955112828207,-23.4798946239252,4
2252,-46.5904340471753,-23.479317,2
2253,-46.5969226218477,-23.4795455203993,1
2254,-46.5961745897916,-23.4851179664147,6
2255,-46.5914592238444,-23.4759701318311,4
2256,-46.5875753993883,-23.4760696763806,3
2257,-46.5851713091926,-23.4717241959432,2
2258,-46.5821066472387,-23.476235364418,3
2259,-46.580389438802,-23.4716079708581,4
2260,-46.5755048693411,-23.4693025765519,3
2261,-46.5771599213168,-23.4673598659472,5
2262,-46.5758771071326,-23.4666860502337,1
2264,-46.5773346880374,-23.4630676414103,5
2266,-46.594171293785,-23.4735176786023,5
2267,-46.5981782164868,-23.4764327987766,3
2268,-46.5934177296728,-23.4688227485429,2
2269,-46.5961530174851,-23.4745929533729,2
2270,-46.5946474139593,-23.4727935714698,1
2271,-46.5880726643653,-23.4689122474205,5
2272,-46.5878530525996,-23.4698631545963,1
2273,-46.5857462705341,-23.4588678303667,7
2274,-46.5850308347279,-23.4682440452421,2
2275,-46.5905030218577,-23.4650971522566,3
2276,-46.5844961170325,-23.4599023780845,7
2278,-46.5818206748514,-23.4635389622597,2
2279,-46.5758521974725,-23.4604808273703,2
2280,-46.5738330910324,-23.4542329103526,1
2281,-46.5743509493218,-23.4491789341555,5
2289,-46.583631623781,-23.4170673949449,1
2290,-46.6307431914936,-23.5432948422502,1
2301,-46.6163000255352,-23.4874144962491,3
2302,-46.6151878075288,-23.4863209541735,3
2303,-46.6124851990017,-23.4824265575913,2
2304,-46.6027018477696,-23.4817710971492,1
2306,-46.6014989593456,-23.4524494227018,9
2307,-46.6080047288361,-23.4828750488487,4
2308,-46.6015152886491,-23.4756329300594,4
2309,-46.6043012807432,-23.4772621393329,4
2310,-46.5986445925616,-23.4719444074384,13
2311,-46.6006669468521,-23.4678410152634,3
2312,-46.6023950044434,-23.4641352151018,5
2313,-46.5984977483987,-23.4652066455653,3
2314,-46.60110519678,-23.4613678570604,6
2315,-46.5964716165676,-23.4633620954758,3
2316,-46.5946762970031,-23.462010764198,8
2317,-46.5956613491546,-23.4583111990017,6
2318,-46.5927060648047,-23.4549050815973,10
2319,-46.5896774650297,-23.4501707149576,3
2320,-46.5979190764614,-23.4494767929482,5
2321,-46.5885161826032,-23.4474941199163,3
2322,-46.5979613680247,-23.4485420605055,6
2323,-46.5736197433259,-23.5027600069891,8
2324,-46.583201266636,-23.4457152378421,5
2325,-46.58499675,-23.455935,6
2326,-46.5754089363314,-23.4477070188871,1
2327,-46.5751802376414,-23.4439847828201,1
2328,-46.5711764028705,-23.4338164157808,2
2330,-46.615713768798,-23.4850631590397,4
2331,-46.6193301317666,-23.4865356317666,1
2332,-46.6222436662531,-23.4863164643372,5
2333,-46.6190023097409,-23.4736089467078,3
2334,-46.6193391443245,-23.4849637404928,3
2335,-46.6160274636447,-23.4842311260027,6
2336,-46.6193538229269,-23.4805842706157,4
2337,-46.6127424066017,-23.4764703491546,4
2338,-46.6182061455653,-23.4740951662531,1
2339,-46.6139622413295,-23.4761783782965,2
2340,-46.6161273856765,-23.4669003065483,2
2341,-46.6145274338103,-23.4569764227018,5
2342,-46.610883853598,-23.4740507946217,2
2344,-46.6112869684922,-23.4687834698771,2
2345,-46.6163016434943,-23.4686234772761,2
2346,-46.6084405115125,-23.4720048723239,6
2347,-46.6056091260027,-23.4606743855099,2
2349,-46.603594853564,-23.4614350592803,5
2350,-46.6092930910324,-23.4593460313636,2
2351,-46.5985734826591,-23.45606480322,1
2352,-46.594345572999,-23.4545060219285,3
2353,-46.6058341676381,-23.453075682209,3
2354,-46.6068557613857,-23.4547962265379,2
2355,-46.6115334456113,-23.4536133666397,1
2356,-46.6110401875621,-23.4500878782272,1
2357,-46.6119953695539,-23.4506174454671,2
2358,-46.6094878374978,-23.4463911340528,4
2359,-46.6197297521523,-23.4456574897209,1
2360,-46.5780299470389,-23.4353461022177,1
2361,-46.5824268383433,-23.435950742215,2
2362,-46.6081756684911,-23.6385828205626,6
2363,-46.5777538335563,-23.4333118433003,4
2365,-46.5805462519344,-23.424789368085,6
2366,-46.5929465260534,-23.429829475245,4
2367,-46.5872815639679,-23.423087231202,3
2368,-46.5775841637429,-23.3992597368861,3
2370,-46.6224001444688,-23.4634348184835,1
2371,-46.6199726801315,-23.4608618556755,2
2372,-46.6237041488395,-23.4590359723843,8
2374,-46.6205809966818,-23.4564655809048,6
2375,-46.6261357631139,-23.4539225728548,1
2376,-46.6266593134918,-23.4585262769923,5
2377,-46.6325437317502,-23.456813720786,4
2378,-46.6302284207686,-23.4540460782791,2
2401,-46.6281990364995,-23.4860583141843,8
2402,-46.6260186801196,-23.4911430621159,18
2403,-46.6290095450978,-23.49316940438,9
2404,-46.6285285947833,-23.4895526400254,12
2405,-46.628898485429,-23.494663037192,5
2406,-46.6286934446304,-23.4881785217843,7
2407,-46.6242839789082,-23.4853595944948,10
2408,-46.6264654052167,-23.4819266960875,8
2409,-46.6265144547579,-23.476711756593,4
2410,-46.6252343381903,-23.4757673119626,11
2411,-46.6251658529055,-23.4741610161002,6
2413,-46.6442238666397,-23.4866845217843,3
2415,-46.6299995394137,-23.4719371676381,13
2416,-46.6286590577355,-23.4795703097409,2
2417,-46.6292237216227,-23.4783963075192,2
2418,-46.6312756640314,-23.4707189408795,4
2419,-46.6398284671072,-23.4772100147152,2
2420,-46.6341183856541,-23.4760789067459,11
2421,-46.6316909475446,-23.4742673608113,5
2422,-46.6348457930925,-23.4700148556755,15
2423,-46.6349771312828,-23.4691737901783,3
2430,-46.6506820274685,-23.4779980335853,9
2431,-46.6366348868948,-23.4853137768481,1
2432,-46.6353631830457,-23.4867176297536,2
2433,-46.636674914796,-23.4806576014484,4
2435,-46.6428124335219,-23.4823915320561,28
2436,-46.6367592681055,-23.4792953952334,3
2440,-46.6497677252294,-23.4758658928674,8
2441,-46.6406232644988,-23.4714345822898,10
2442,-46.6432976996942,-23.4732110605055,6
2443,-46.6463652644988,-23.4723351792948,12
2450,-46.6393607499279,-23.4997114920942,5
2451,-46.6410436653454,-23.5003223267268,4
2452,-46.6442823193202,-23.4990415109643,9
2460,-46.6378521762364,-23.4912647668648,10
2461,-46.6384277817242,-23.4935325040394,10
2462,-46.6389532632046,-23.4957071133023,7
2463,-46.6441914288525,-23.4900452506125,3
2464,-46.6507031812281,-23.4901186347453,3
2465,-46.6496256034859,-23.4917176421742,4
2466,-46.6433392682497,-23.4940594504588,3
2467,-46.6447963462271,-23.4926469151441,5
2468,-46.6487301530671,-23.4895074199319,1
2469,-46.6424946412661,-23.4848788534538,5
2470,-46.6486800982457,-23.4841544532287,8
2471,-46.6554151311386,-23.4811704235386,5
2472,-46.6589544210284,-23.4762436403138,6
2473,-46.6522014132668,-23.4783244962491,2
2474,-46.6556803945409,-23.4772924504588,3
2475,-46.6463074607305,-23.4810590815973,1
2478,-46.6596119855733,-23.4792629475446,5
2479,-46.6507165073576,-23.47544698918,2
2510,-46.6526293544978,-23.513707394632,2
2512,-46.6628784096601,-23.5126292267586,5
2513,-46.6565245989382,-23.5125262878124,6
2514,-46.6559340555138,-23.5113317921115,5
2515,-46.659078670004,-23.5100819861215,2
2516,-46.6599604499105,-23.5100208615038,9
2517,-46.6661193105776,-23.5060645181776,2
2518,-46.6665008304287,-23.5088103125395,12
2519,-46.6583529237955,-23.502330515014,3
2520,-46.6489984453229,-23.5003141357262,1
2521,-46.6648667026084,-23.504020722171,6
2522,-46.656351,-23.503025514571,2
2523,-46.6546135654972,-23.5075034074384,3
2525,-46.6478116815165,-23.5026981304461,1
2526,-46.6487125599026,-23.5047891674544,1
2530,-46.662136094857,-23.5018732664764,5
2531,-46.6512644547579,-23.5023037754631,5
2532,-46.6604304518437,-23.4959231107392,2
2533,-46.6583922871199,-23.4941318592821,3
2534,-46.6548432639506,-23.4961990824341,5
2535,-46.6497409875065,-23.4983007243927,4
2537,-46.6492782305095,-23.4926669433896,5
2538,-46.6524932586704,-23.4988266633389,1
2539,-46.6594294869583,-23.4965346916441,1
2540,-46.6560273615038,-23.4904529336661,3
2541,-46.6547772361937,-23.48588440161,2
2542,-46.6592675450978,-23.49186159562,8
2543,-46.6629375961683,-23.4849966283686,6
2545,-46.6636220255352,-23.4936145217843,7
2550,-46.6692194074384,-23.5055305217843,4
2551,-46.6697373162618,-23.5027262930925,1
2552,-46.6625891472387,-23.4986987149576,5
2553,-46.6644890686998,-23.4967486486237,4
2555,-46.6648424783599,-23.4931589475446,5
2556,-46.6711768178309,-23.4994398199886,2
2557,-46.6737963029892,-23.499399776722,3
2558,-46.6753435670264,-23.4974962980841,3
2559,-46.6743202076,-23.4938127310578,2
2560,-46.6717638506838,-23.4949877915633,1
2561,-46.6759630428761,-23.4928209075826,2
2562,-46.6739494154885,-23.4857655575913,6
2563,-46.6725290394137,-23.4921242514571,2
2564,-46.6718585727639,-23.4867382379239,4
2565,-46.6682682131925,-23.4861093479197,7
2566,-46.6707971472387,-23.4828312850424,4
2567,-46.6696125,-23.4810855,1
2610,-46.665876965174,-23.4759280552254,1
2611,-46.6392817183832,-23.4665898220216,22
